Year,Indicator Name,Indicator Code,Value
2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.46
2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.46
2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.46
2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.45
2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,45.45
2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.6
2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.43
2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.27
2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.69
2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.69
2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.69
2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.53
2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.78
2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.62
2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.38
2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.11
2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.91
2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.03
2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.84
2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.79
2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.57
2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.49
2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.47
1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.39
1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.14
1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.12
1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.11
1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.09
1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.04
1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.0
1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.38
1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.35
1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3
1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.31
1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.27
1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.22
1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.09
1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.92
1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.85
1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.8
1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.61
1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.46
1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.46
1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.62
1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.37
1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8
1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.21
1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.62
1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.59
1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.49
1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.39
1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3
1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.2
1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.12
1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.01
1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.96
1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.16
1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.38
1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.54
1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.85
1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.22
1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.48
2022,Arable land (% of land area),AG.LND.ARBL.ZS,22.18
2021,Arable land (% of land area),AG.LND.ARBL.ZS,22.18
2020,Arable land (% of land area),AG.LND.ARBL.ZS,22.18
2019,Arable land (% of land area),AG.LND.ARBL.ZS,22.17
2018,Arable land (% of land area),AG.LND.ARBL.ZS,22.17
2017,Arable land (% of land area),AG.LND.ARBL.ZS,21.33
2016,Arable land (% of land area),AG.LND.ARBL.ZS,21.17
2015,Arable land (% of land area),AG.LND.ARBL.ZS,21.0
2014,Arable land (% of land area),AG.LND.ARBL.ZS,20.73
2013,Arable land (% of land area),AG.LND.ARBL.ZS,20.73
2012,Arable land (% of land area),AG.LND.ARBL.ZS,20.73
2011,Arable land (% of land area),AG.LND.ARBL.ZS,20.73
2010,Arable land (% of land area),AG.LND.ARBL.ZS,19.14
2009,Arable land (% of land area),AG.LND.ARBL.ZS,19.14
2008,Arable land (% of land area),AG.LND.ARBL.ZS,19.14
2007,Arable land (% of land area),AG.LND.ARBL.ZS,15.95
2006,Arable land (% of land area),AG.LND.ARBL.ZS,16.74
2005,Arable land (% of land area),AG.LND.ARBL.ZS,17.54
2004,Arable land (% of land area),AG.LND.ARBL.ZS,14.35
2003,Arable land (% of land area),AG.LND.ARBL.ZS,15.15
2002,Arable land (% of land area),AG.LND.ARBL.ZS,14.93
2001,Arable land (% of land area),AG.LND.ARBL.ZS,14.61
2000,Arable land (% of land area),AG.LND.ARBL.ZS,14.59
1999,Arable land (% of land area),AG.LND.ARBL.ZS,14.43
1998,Arable land (% of land area),AG.LND.ARBL.ZS,14.18
1997,Arable land (% of land area),AG.LND.ARBL.ZS,14.16
